T L=200 L=400
2.200000 1.414134 1.416053
2.205128 1.451750 1.453819
2.210256 1.498439 1.494615
2.215385 1.541585 1.541273
2.220513 1.588427 1.592334
2.225641 1.646330 1.645086
2.230769 1.711833 1.704437
2.235897 1.780196 1.779166
2.241026 1.863778 1.863844
2.246154 1.962613 1.965936
2.251282 2.064887 2.077738
2.256410 2.232808 2.236103
2.261538 2.452693 2.472553
2.266667 2.666044 2.850568
2.271795 2.800194 3.046158
2.276923 2.764250 2.858381
2.282051 2.524883 2.456019
2.287179 2.309709 2.181607
2.292308 2.093581 1.991131
2.297436 1.922591 1.875698
2.302564 1.819348 1.787302
2.307692 1.730838 1.713373
2.312821 1.664283 1.654977
2.317949 1.602313 1.598674
2.323077 1.544209 1.545300
2.328205 1.504357 1.504393
2.333333 1.466236 1.461712
2.338462 1.429902 1.423756
2.343590 1.392346 1.397071
2.348718 1.358201 1.363046
2.353846 1.327836 1.331090
2.358974 1.301239 1.301402
2.364103 1.273703 1.274709
2.369231 1.250176 1.249087
2.374359 1.226374 1.226996
2.379487 1.204414 1.204273
2.384615 1.182107 1.181382
2.389744 1.161794 1.161840
2.394872 1.139801 1.140888
2.400000 1.124110 1.121519
