T L=200 L=400
2.200000 -1.546472 -1.546475
2.205128 -1.539135 -1.539136
2.210256 -1.531511 -1.531572
2.215385 -1.523779 -1.523802
2.220513 -1.515764 -1.515783
2.225641 -1.507460 -1.507498
2.230769 -1.498904 -1.498906
2.235897 -1.490012 -1.489979
2.241026 -1.480604 -1.480603
2.246154 -1.470773 -1.470759
2.251282 -1.460497 -1.460552
2.256410 -1.449465 -1.449400
2.261538 -1.437494 -1.437363
2.266667 -1.424069 -1.423785
2.271795 -1.410348 -1.408859
2.276923 -1.395554 -1.393599
2.282051 -1.381958 -1.379931
2.287179 -1.369742 -1.368262
2.292308 -1.358508 -1.357606
2.297436 -1.348042 -1.347678
2.302564 -1.338488 -1.338249
2.307692 -1.329464 -1.329287
2.312821 -1.320746 -1.320662
2.317949 -1.312385 -1.312328
2.323077 -1.304197 -1.304225
2.328205 -1.296414 -1.296458
2.333333 -1.288785 -1.288822
2.338462 -1.281397 -1.281423
2.343590 -1.274145 -1.274178
2.348718 -1.267091 -1.267135
2.353846 -1.260232 -1.260226
2.358974 -1.253498 -1.253486
2.364103 -1.246856 -1.246891
2.369231 -1.240382 -1.240371
2.374359 -1.234051 -1.234033
2.379487 -1.227794 -1.227814
2.384615 -1.221674 -1.221701
2.389744 -1.215703 -1.215695
2.394872 -1.209793 -1.209786
2.400000 -1.204003 -1.203981
