T L=200 L=400
2.200000 .784707 .784712
2.205128 .777678 .777619
2.210256 .769801 .769957
2.215385 .761559 .761636
2.220513 .752562 .752543
2.225641 .742455 .742610
2.230769 .731366 .731463
2.235897 .718952 .718831
2.241026 .704415 .704125
2.246154 .687121 .686600
2.251282 .667075 .667077
2.256410 .640411 .640090
2.261538 .603221 .602663
2.266667 .551673 .541567
2.271795 .488482 .444903
2.276923 .405665 .318419
2.282051 .333314 .215956
2.287179 .275206 .154930
2.292308 .225828 .119310
2.297436 .188197 .096438
2.302564 .163392 .081608
2.307692 .143840 .070714
2.312821 .129490 .064106
2.317949 .117428 .058013
2.323077 .105778 .052678
2.328205 .098684 .049656
2.333333 .091266 .045219
2.338462 .085864 .042731
2.343590 .080418 .040522
2.348718 .075789 .038124
2.353846 .071811 .035853
2.358974 .068211 .034291
2.364103 .065666 .032779
2.369231 .062739 .031208
2.374359 .060232 .030003
2.379487 .057903 .028776
2.384615 .055518 .027773
2.389744 .053654 .026841
2.394872 .051719 .025706
2.400000 .050268 .025047
