T L=200 L=400
2.200000 4.912020 4.927019
2.205128 5.525081 5.596970
2.210256 6.589610 6.487123
2.215385 7.776512 7.668382
2.220513 9.086325 9.187547
2.225641 11.042730 11.004483
2.230769 13.985143 13.796457
2.235897 17.970180 17.891251
2.241026 23.131012 23.879766
2.246154 31.461199 35.682941
2.251282 46.397790 50.434301
2.256410 242.052254 85.514110
2.261538 596.037486 193.221746
2.266667 955.802387 577.702536
2.271795 1864.463600 1770.221830
2.276923 2114.539533 3395.483101
2.282051 2002.111001 2990.394180
2.287179 1730.989305 2277.947096
2.292308 1221.961299 1431.846905
2.297436 889.914320 997.534769
2.302564 689.888083 715.635911
2.307692 541.204844 541.642290
2.312821 443.255844 442.562402
2.317949 364.686824 361.123604
2.323077 296.683139 298.690791
2.328205 258.891762 264.705606
2.333333 221.840442 219.724336
2.338462 195.322854 196.171332
2.343590 171.827306 175.134974
2.348718 152.699104 155.075849
2.353846 136.978908 136.948178
2.358974 123.308031 125.119257
2.364103 114.069841 113.905735
2.369231 103.832784 103.072629
2.374359 95.376029 95.259402
2.379487 88.025647 87.414927
2.384615 80.681214 81.095760
2.389744 75.297342 75.669359
2.394872 70.081319 69.225609
2.400000 65.884405 65.613012
